Gene locus	CHR	Lead SNP	BP	P-value (Overall)	GWAS study	Closest Peak Distance	Peak Start	Peak End	logFC(Neuron/other two)	logFC(Microglia/other two)	logFC(Olig/other two)	dominant_cell_type	dominant_cell_type_specificity	2nd_cell_type_specificity	3rd_cell_type_specificity
CASS4	chr20	rs6024870	54997568	3.50E-08	Kunkle	0	54994953	54999360	-0.82514278	1.586379997	-0.761227739	1	1.586379997	-0.761227739	-0.82514278
KAT8	chr16	rs59735493	31133100	3.98E-08	Jansen	0	31132717	31133297	0.769923745	-0.192635059	-0.577283985	3	0.769923745	-0.192635059	-0.577283985
BZRAP-AS1	chr17	rs2632516	56409089	9.66E-07	Jansen	0	56409045	56411269	-0.534067259	1.685675299	-1.151598432	1	1.685675299	-0.534067259	-1.151598432
INPP5D	chr2	rs10933431	233981912	8.92E+10	Jansen	0	233976966	233984034	-0.751579648	1.610757377	-0.859166938	1	1.610757377	-0.751579648	-0.859166938
ZCWPW1	chr7	rs1859788	99971834	2.22E-15	Jansen	74	99971908	99972977	-0.587916605	1.520171864	-0.932247137	1	1.520171864	-0.587916605	-0.932247137
MS4A2	chr11	rs7933202	59936926	1.90E-19	Kunkle	-121	59936521	59936805	0.349562941	0.908767826	-1.258327617	1	0.908767826	0.349562941	-1.258327617
SLC24A4	chr14	rs12590654	92938855	1.65E-10	Jansen	222	92939077	92940753	0.076299566	1.166870187	-1.243161989	1	1.166870187	0.076299566	-1.243161989
APOE	chr19	rs429358	45411941		Kunkle	276	45412217	45412618	-0.685919297	0.70439705	-0.018472744	1	0.70439705	-0.018472744	-0.685919297
FERMT2	chr14	rs17125924	53391680	1.40E-09	Kunkle	-434	53390146	53391246	-0.835642458	0.288762577	0.546886874	2	0.546886874	0.288762577	-0.835642458
SCIMP	chr17	rs113260531	5138980	9.16E-10	Jansen	-482	5135305	5138498	-0.82789803	1.691000283	-0.863092835	1	1.691000283	-0.82789803	-0.863092835
ABI3	chr17	rs28394864	47450775	1.87E-08	Jansen	-516	47449704	47450259	-1.416013571	0.750716835	0.665301832	1	0.750716835	0.665301832	-1.416013571
SLC24A4	chr14	rs12881735	92932828	7.40E-09	Kunkle	886	92933714	92934206	-0.230512734	1.371875261	-1.141358708	1	1.371875261	-0.230512734	-1.141358708
EPHA1	chr7	rs10808026	143099133	1.30E-10	Kunkle	3136	143102269	143103054	-0.214105144	0.150370138	0.063740851	1	0.150370138	0.063740851	-0.214105144
HESX1	chr3	rs184384746	57226150	1.24E+08	Jansen	4299	57230449	57230985	0.803339853	0.102926026	-0.906261534	3	0.803339853	0.102926026	-0.906261534
ABCA7	chr19	rs3752246	1056492	3.10E-16	Kunkle	7116	1063608	1065445	-0.661452848	1.248270475	-0.586810045	1	1.248270475	-0.586810045	-0.661452848
CR1	chr1	rs2093760	207786828	1.10E-18	Jansen	-1966	207784517	207784862	-1.415642369	0.445194153	0.970451535	2	0.970451535	0.445194153	-1.415642369
CD2AP	chr6	rs9473117	47431284	1.20E-10	Kunkle	-1984	47428686	47429300	-1.493938259	1.868936054	-0.37499374	1	1.868936054	-0.37499374	-1.493938259
MS4A6A	chr11	rs2081545	59958380	1.55E-15	Jansen	-2258	59955591	59956122	-1.745958809	2.242252117	-0.496290856	1	2.242252117	-0.496290856	-1.745958809
CD2AP	chr6	rs9381563	47432637	2.52E-10	Jansen	-3337	47428686	47429300	-1.493938259	1.868936054	-0.37499374	1	1.868936054	-0.37499374	-1.493938259
CNTNAP2	chr7	rs114360492	145950029	2.10E-09	Jansen	-17047	145931797	145932982	1.397706583	-0.880179139	-0.517521709	3	1.397706583	-0.517521709	-0.880179139
HS3ST1	chr4	rs7657553	11723235	0.051	Jansen	-18278	11704552	11704957	0.998279239	-0.566853392	-0.431422538	3	0.998279239	-0.431422538	-0.566853392
TREM2	chr6	rs187370608	40942196	1.45E-16	Jansen	21690	40963886	40965725	0.626190634	-0.352810161	-0.273372262	3	0.626190634	-0.273372262	-0.352810161
CLNK	chr4	rs6448453	11026028	1.93E-09	Jansen	-39655	10984912	10986373	-0.7967249	1.351333931	-0.554603351	1	1.351333931	-0.554603351	-0.7967249
APP	chr21					-1372	27513463	27514696	-0.254005909	-0.153511111	0.4075247	2	0.4075247	-0.153511111	-0.254005909
PSEN1	chr14					-38	73601740	73604469	-0.710079065	0.32839167	0.381699375	2	0.381699375	0.32839167	-0.710079065
PSEN2	chr1					381	227057560	227059747	-0.035362585	0.218642858	-0.1832691	1	0.218642858	-0.035362585	-0.1832691
